HOG	gene
N0.HOG0000016	AT1G21210
N0.HOG0000016	AT1G21230
N0.HOG0000016	AT1G21240
N0.HOG0000016	AT1G21245
N0.HOG0000016	AT1G21250
N0.HOG0000016	AT1G21270
N0.HOG0000016	AT1G22720
N0.HOG0000016	AT3G25490
N0.HOG0000016	EL10Ac1g01498.1
N0.HOG0000016	EL10Ac2g03934.1
N0.HOG0000016	EL10Ac2g03936.1
N0.HOG0000016	EL10Ac2g03937.1
N0.HOG0000016	EL10Ac2g03940.1
N0.HOG0000016	EL10Ac2g03941.1
N0.HOG0000016	EL10Ac3g06037.1
N0.HOG0000016	EL10Ac3g06038.1
N0.HOG0000016	EL10Ac3g06041.1
N0.HOG0000016	EL10Ac3g06042.1
N0.HOG0000016	EL10Ac3g06044.1
N0.HOG0000016	EL10Ac3g06051.1
N0.HOG0000016	EL10Ac3g06053.1
N0.HOG0000016	EL10Ac3g06054.1
N0.HOG0000016	EL10Ac3g06055.1
N0.HOG0000016	EL10Ac3g06056.1
N0.HOG0000016	EL10Ac3g06374.1
N0.HOG0000016	EL10Ac4g09941.1
N0.HOG0000016	EL10Ac4g09954.1
N0.HOG0000016	EL10Ac4g09957.1
N0.HOG0000016	EL10Ac4g09991.1
N0.HOG0000016	EL10Ac5g12339.1
N0.HOG0000016	EL10Ac5g12340.1
N0.HOG0000016	EL10Ac6g14365.1
N0.HOG0000016	EL10Ac6g14367.1
N0.HOG0000016	EL10Ac6g15419.1
N0.HOG0000016	EL10Ac6g15420.1
N0.HOG0000016	EL10Ac6g15421.1
N0.HOG0000016	EL10Ac6g15423.1
N0.HOG0000016	EL10Ac6g15424.1
N0.HOG0000016	HORVU.MOREX.r3.7HG0642910
N0.HOG0000016	HORVU.MOREX.r3.1HG0000540
N0.HOG0000016	HORVU.MOREX.r3.1HG0006210
N0.HOG0000016	HORVU.MOREX.r3.6HG0543140
N0.HOG0000016	HORVU.MOREX.r3.6HG0543150
N0.HOG0000016	HORVU.MOREX.r3.6HG0596150
N0.HOG0000016	HORVU.MOREX.r3.6HG0596130
N0.HOG0000016	HORVU.MOREX.r3.6HG0550560
N0.HOG0000016	HORVU.MOREX.r3.7HG0649350
N0.HOG0000016	HORVU.MOREX.r3.7HG0649470
N0.HOG0000016	HORVU.MOREX.r3.5HG0442460
N0.HOG0000016	HORVU.MOREX.r3.5HG0488230
N0.HOG0000016	HORVU.MOREX.r3.2HG0194210
N0.HOG0000016	HORVU.MOREX.r3.4HG0399520
N0.HOG0000016	HORVU.MOREX.r3.7HG0649420
N0.HOG0000016	HORVU.MOREX.r3.7HG0649380
N0.HOG0000016	Zm00001eb071970
N0.HOG0000016	Zm00001eb077280
N0.HOG0000016	Zm00001eb077290
N0.HOG0000016	Zm00001eb077310
N0.HOG0000016	Zm00001eb077330
N0.HOG0000016	Zm00001eb077740
N0.HOG0000016	Zm00001eb316880
N0.HOG0000016	Zm00001eb247540
N0.HOG0000016	Zm00001eb277650
N0.HOG0000016	Zm00001eb283100
N0.HOG0000016	Zm00001eb375460
N0.HOG0000016	BPunChr32597
N0.HOG0000016	BPunChr32598
N0.HOG0000016	BPunChr32681
N0.HOG0000016	BPChr08G26677
N0.HOG0000016	BPChr09G17881
N0.HOG0000016	BPChr08G26712
N0.HOG0000016	BPChr08G26752
N0.HOG0000016	BPChr08G26788
N0.HOG0000016	BPChr13G03885
N0.HOG0000016	BPChr06G08439
N0.HOG0000016	BPChr06G08472
N0.HOG0000016	BPChr06G08463
N0.HOG0000016	BPChr06G08464
